LOCATION,NAME,CODE,ADDRESS
경북,공단동,437151,경북 구미시 공단동 256-18
경북,대도동,437114,경북 포항시 남구 대도동 111-6
경북,대송면,437115,경북 포항시 남구 대송면 홍계길19
경북,신음동,437131,경북 김천시 신음동 1284
경북,원평동,437152,경북 구미시 원평동 56-4
경북,중방동,437171,경북 경산시 중방동 708-5
경북,태하리,437541,경북 울릉군 서면 태하리 산99-3
경북,화북면,437401,경북 영천시 화북면 천문로 2304-21
대구,대명동,422141,대구 남구 성당로30길 55
대구,지산동,422115,대구 수성구 지산동 761-11
대구,태전동,422155,대구 북구 태전동 1076-5
대구,현풍면,422201,대구 달성군 현풍면 부리 247
대구,호림동,422171,대구 달서구 성서공단로 11길 32
전북,개정동,735123,전북 군산시 개정동 507-24
전북,고창읍,735161,전북 고창군 고창읍 월곡리 619
전북,부안군,,전북 부안군 부안읍 수정길 9-8
전북,삼천동,735111,전북 전주시 완산구 삼천동 2가 182-1
전북,소룡동,735122,전북 군산시 소룡동 176-1
전북,신풍동(군산),,전북 군산시 신풍동 13-1
전북,연지동,735141,전북 정읍시 중앙로 73
전북,요촌동,,전북 김제시 요촌중길 50
전북,죽항동,735151,전북 남원시 죽항동 비석길 72
경남,대안동,238132,경남 진주시 대안동 11-10
경남,동상동,238181,경남 김해시 동상동 856
경남,반송로,238145,경남 창원시 의창구 두대동 145
경남,북부동,238361,경남 양산시 북부동 331-2
경남,사파동,238146,경남 창원시 성산구 사파동 106-1
경남,아주동,238201,경남 거제시 아주동 337-26
경남,용지동,238144,경남 창원시 의창구 용지동 62-1
경남,웅남동,238142,경남 창원시 성산구 웅남동 43-1
경남,장유동,238183,경남 김해시 장유동 능동로 149
경남,회원동,238111,경남 창원시 마산회원구 회원동 52-11
울산,덕신리,238128,울산 울주군 온산읍 덕신리 36-4
울산,무거동,238129,울산 남구 무거동 1522-2 
울산,부곡동(울산),238122,울산 남구 부곡동12 125-2
울산,삼남면,238375,울산 울주군 삼남면 교동리 1605-1
울산,상남리,238373,울산 울주군 청량면 상남리 595-7
울산,신정2동,238126,울산 남구 신정2동 1674
울산,신정동,238127,울산 남구 신정동 1210-9
울산,여천동(울산),238123,울산 남구 여천동 250번지 
울산,효문동,238130,울산 북구 효문동 616-8
부산,광안동,221271,부산 수영구 광안4동 1276-1
부산,기장읍,221231,부산 기장군 기장읍 동부리 320
부산,대신동,221281,부산광역시 서구 대신로 150
부산,대저동,221211,부산 강서구 대저1동 1619
부산,덕천동,221182,부산 북구 덕천동 365-1
부산,온천동,221162,부산 동래구 중앙대로 1335번길 24
부산,용수리,221233,부산 기장군 정관면 용수리 141번지
부산,장림동,221202,부산 사하구 장림동 1140
부산,초량동,221131,부산 동구 중앙대로 349번길
부산,태종대,221141,부산 영도구 동삼2동 산29-1
부산,학장동,221181,부산 사상구 학장동 대동로 413
광주,오선동,324142,광주 광산구 하남산단 6번로 107
광주,운암동,324134,광주 북구 북문대로 79
전남,나불리,336441,전남 영암군 삼호면 나불리 338-3
전남,덕충동,336128,전남 여수시 덕충안길 95
전남,순천만,336133,전남 순천시 대대동 162-2
전남,여천동(여수),336127,전남 여수시 선원동 704
전남,연향동,336132,전남 순천시 연향동 1379-1
전남,용당동,336111,전남 목포시 용당2동 1053
전남,월내동,336124,전남 여수시 월내동 1392
전남,태인동,336353,전남 광양시 태인동 1653-4
전남,호두리,336134,전남 순천시 해룡면 호두리 276-9
제주,연동,339112,제주 제주시 연동 322-1
서울,강남대로,111264,서울 서초구 강남대로 201
서울,공항대로,111213,서울 강서구 마곡역
서울,도산대로,111263,서울 강남구 도산대로 104 
서울,동작대로 중앙차로,111242,서울 동작구 동작대로 144
서울,신촌로,111202,서울 마포구 노고산동 57-62
서울,정릉로,,서울 성북구 정릉로 180
서울,청계천로,,서울 중구 청계천로 184
서울,홍릉로,,서울 동대문구 홍릉로 1
인천,계산,823662,인천 계양구 계산동 907-4
인천,고잔,823671,인천 남동구 고잔동 637
인천,백령도,831492,인천 옹진군 백령면 연화리 산 1025-1
인천,부평역,823634,인천 부평구 부평3동 186-218
인천,석모리,831481,인천 강화군 삼산면 석모리 347-4
인천,석바위,823633,인천 남구 주안6동 1587
인천,송현,823703,인천 동구 송현동 119
인천,숭의,823632,인천 남구 숭의동 131-1
인천,신흥,823611,인천 중구 신흥동 2가 18-4
인천,연희,823651,인천 서구 심곡동 244
경기,경안동,131392,경기 광주시 경안동 53-4 
경기,광교동,131113,경기 수원시 영통구 법조로 129
경기,금촌동,131371,경기 파주시 금촌동 후곡로 13
경기,기흥,131413,경기 용인시 기흥구 관곡로 95
경기,동수원,131116,경기 수원시 팔달구 우만동 562-7
경기,모란역,131125,경기 성남시 수정구 수진2동 453
경기,봉산동,131581,경기 안성시 봉산동 시청길 25
경기,부곡3동,131222,경기 의왕시 부곡3동 부곡중앙남1길 19
경기,설성면,131441,경기 이천시 설성면 신필리 산 88-5
경기,소사본동,831151,경기 부천시 소사구 경인옛로 72
경기,소하동,131163,경기 광명시 소하동 1331
경기,안중,131342,경기 평택시 안중읍 안중리 안중읍사무소
경기,양평,131621,경기 양평군 용문면 용문로 375 343
경기,여주,,경기 여주시 하동 134-11
경기,원시동,131192,경기 안산시 단원구 산단로 112
경기,의정부동,131131,경기 의정부시 의정부2동 551-2
경기,정왕동,131231,경기 시흥시 정왕동 1799-5
경기,창전동,131442,경기 이천시 창전동 영창로 163번길 28
경기,평택항,131343,경기 평택시 포승읍 만호리 576-4
경기,행신동,131381,경기 고양시 덕양구 행신동 59-3
강원,간성읍,632421,강원 고성군 간성읍 흘리 산 1-92
강원,남양동1,632161,강원 삼척시 남양동 339-1
강원,방산면,132401,강원 양구군 방산면 송현1리 519-2
강원,석사동,132113,강원 춘천시 석사동 322-1
강원,중앙로,132112,강원 춘천시 중앙로 3가 67-1
강원,천곡동,632151,강원 동해시 천곡동 806
강원,치악산,632431,강원 횡성군 강림면 강림리 1538
충남,모종동,534441,충남 아산시 모종동 573-2
충남,정곡리,534432,충남 당진시 송악면 정곡리 66-12
충북,매포읍,633311,충북 단양군 매포읍 평동리 1274
충북,문화동,533114,충북 청주시 상당구 문화동 89
충북,복대동,533116,충북 청주시 흥덕구 복대동 111
충북,사천동,533113,충북 청주시 청원구 사천동 233-223
충북,송정동(봉명동),533112,충북 청주시 흥덕구 직지대로 620 70
충북,오창읍,633211,충북 청주시 청원구 오창읍 각리 637-4
충북,옥천읍,,충북 옥천군 옥천읍 중앙로 99
충북,용암동,533115,충북 청주시 상당구 용암동 1590
충북,장락동,633131,충북 제천시 장락동 672-8
충북,진천읍,,충북 진천군 진천읍 상산로 65
충북,칠금동,633123,충북 충주시 칠금동 874
충북,호암동,633122,충북 충주시 호암동 562
대전,노은동,525142,대전 유성구 노은동 546
대전,대흥동1,525151,대전 중구 대흥동 630-1
대전,둔산동,525172,대전 서구 둔산동 1304
대전,문평동,525112,대전 대덕구 문평동 79-1
대전,월평동,525173,대전 서구 월평동 1528
경북,3공단,437116,경북 포항시 남구 대송면 옥명리 526
전북,죽항동,735151,전북 남원시 죽항동 비석길 72
부산,온천동,221162,부산 동래구 중앙대로 1335번길 24
부산,학장동,221181,부산 사상구 학장동 대동로 413
전남,나불리,336441,전남 영암군 삼호면 나불리 338-3
