,NAME,ADDRESS,LAT,LNG
215,공단동,경북+구미시+공단동+256-18,36.1050525,128.3840384
216,대도동,경북+포항시+남구+대도동+111-6,36.018833,129.3658667
217,대송면,경북+포항시+남구+대송면+홍계길19,35.9683903,129.3599784
218,신음동,경북+김천시+신음동+1284,36.139828,128.1136723
219,원평동,경북+구미시+원평동+56-4,36.1307423,128.3257904
220,중방동,경북+경산시+중방동+708-5,35.8251741,128.7432169
221,태하리,경북+울릉군+서면+태하리+산99-3,37.5223305,130.7966733
222,화북면,경북+영천시+화북면+천문로+2304-21,36.1127316,128.9277833
223,대명동,대구+남구+성당로30길+55,35.8454991,128.5710679
224,지산동,대구+수성구+지산동+761-11,35.8304698,128.6315546
225,태전동,대구+북구+태전동+1076-5,35.9219392,128.544655
226,현풍면,대구+달성군+현풍면+부리+247,35.6997543,128.4417227
227,호림동,대구+달서구+성서공단로+11길+32,35.8378782,128.4887319
228,개정동,전북+군산시+개정동+507-24,35.9643543,126.7543889
229,고창읍,전북+고창군+고창읍+월곡리+619,35.4380935,126.7127904
230,부안군,전북+부안군+부안읍+수정길+9-8,35.7241207,126.7342129
231,삼천동,전북+전주시+완산구+삼천동+2가+182-1,35.7930919,127.1006874
232,소룡동,전북+군산시+소룡동+176-1,35.9762988,126.6512165
233,신풍동(군산),전북+군산시+신풍동+13-1,35.9728345,126.700762
234,연지동,전북+정읍시+중앙로+73,35.570479,126.8492339
235,요촌동,전북+김제시+요촌중길+50,35.8049098,126.8914158
236,대안동,경남+진주시+대안동+11-10,35.1935291,128.0845311
237,동상동,경남+김해시+동상동+856,35.2368495,128.8834075
238,반송로,경남+창원시+의창구+두대동+145,35.2341507,128.6646492
239,북부동,경남+양산시+북부동+331-2,35.3457761,129.0403132
240,사파동,경남+창원시+성산구+사파동+106-1,35.2217294,128.6982501
241,아주동,경남+거제시+아주동+337-26,34.8647252,128.6909385
242,용지동,경남+창원시+의창구+용지동+62-1,35.2277918,128.6896773
243,웅남동,경남+창원시+성산구+웅남동+43-1,35.2115193,128.6574869
244,장유동,경남+김해시+장유동+능동로+149,35.2030101,128.8072525
245,회원동,경남+창원시+마산회원구+회원동+52-11,35.21811,128.5739001
246,덕신리,울산+울주군+온산읍+덕신리+36-4,35.4346936,129.3144896
247,무거동,울산+남구+무거동+1522-2+,35.5509531,129.2606969
248,부곡동(울산),울산+남구+부곡동12+125-2,35.4973089,129.3454717
249,삼남면,울산+울주군+삼남면+교동리+1605-1,35.5583314,129.113771
250,상남리,울산+울주군+청량면+상남리+595-7,35.4931071,129.3059206
251,신정2동,울산+남구+신정2동+1674,35.5312509,129.3002988
252,신정동,울산+남구+신정동+1210-9,35.5346671,129.3078652
253,여천동(울산),울산+남구+여천동+250번지+,35.5225407,129.3551072
254,효문동,울산+북구+효문동+616-8,35.560339,129.3710485
255,광안동,부산+수영구+광안4동+1276-1,35.151961,129.1079823
256,기장읍,부산+기장군+기장읍+동부리+320,35.2460563,129.2118283
257,대신동,부산광역시+서구+대신로+150,35.1173229,129.0156411
258,대저동,부산+강서구+대저1동+1619,35.2114596,128.9547106
259,덕천동,부산+북구+덕천동+365-1,35.2158661,129.0197569
260,용수리,부산+기장군+정관면+용수리+141번지,35.3255581,129.1801399
261,장림동,부산+사하구+장림동+1140,35.0829924,128.9668748
262,초량동,부산+동구+중앙대로+349번길,35.1268108,129.0458947
263,태종대,부산+영도구+동삼2동+산29-1,35.0554048,129.0900033
264,오선동,광주+광산구+하남산단+6번로+107,35.2044277,126.8077683
265,운암동,광주+북구+북문대로+79,35.1768336,126.8772275
266,덕충동,전남+여수시+덕충안길+95,34.753719,127.7393897
267,순천만,전남+순천시+대대동+162-2,34.885971,127.5090298
268,여천동(여수),전남+여수시+선원동+704,34.7775968,127.6526366
269,연향동,전남+순천시+연향동+1379-1,34.9471023,127.5185748
270,용당동,전남+목포시+용당2동+1053,34.804747,126.3978749
271,월내동,전남+여수시+월내동+1392,34.8537253,127.7288479
272,태인동,전남+광양시+태인동+1653-4,34.9418681,127.7570687
273,호두리,전남+순천시+해룡면+호두리+276-9,34.89349,127.5729911
274,연동,제주+제주시+연동+322-1,33.4890071,126.5006816
275,강남대로,서울+서초구+강남대로+201,37.48181,127.0357439
276,공항대로,서울+강서구+마곡역,37.5764888,126.8307466
277,도산대로,서울+강남구+도산대로+104+,37.5160375,127.0203278
278,동작대로 중앙차로,서울+동작구+동작대로+144,37.4854059,126.980416
279,신촌로,서울+마포구+노고산동+57-62,37.5551331,126.9361268
280,정릉로,서울+성북구+정릉로+180,37.6067239,127.0048636
281,청계천로,서울+중구+청계천로+184,37.5686022,126.9981682
282,홍릉로,서울+동대문구+홍릉로+1,37.5804857,127.0444312
283,계산,인천+계양구+계산동+907-4,37.5460166,126.7301724
284,고잔,인천+남동구+고잔동+637,37.4048391,126.6971575
285,부평역,인천+부평구+부평3동+186-218,37.4860951,126.7081928
286,석모리,인천+강화군+삼산면+석모리+347-4,37.6955531,126.3335311
287,석바위,인천+남구+주안6동+1587,37.4579743,126.6910776
288,송현,인천+동구+송현동+119,37.4806641,126.6358196
289,숭의,인천+남구+숭의동+131-1,37.4634703,126.6502865
290,신흥,인천+중구+신흥동+2가+18-4,37.4679593,126.6350026
291,연희,인천+서구+심곡동+244,37.5451913,126.6758753
292,경안동,경기+광주시+경안동+53-4+,37.4111587,127.2579705
293,광교동,경기+수원시+영통구+법조로+129,37.2912716,127.0708178
294,금촌동,경기+파주시+금촌동+후곡로+13,37.7562857,126.7739286
295,기흥,경기+용인시+기흥구+관곡로+95,37.2802242,127.1151398
296,동수원,경기+수원시+팔달구+우만동+562-7,37.2788817,127.0312503
297,모란역,경기+성남시+수정구+수진2동+453,37.4374695,127.1285692
298,봉산동,경기+안성시+봉산동+시청길+25,37.008025,127.279817
299,부곡3동,경기+의왕시+부곡3동+부곡중앙남1길+19,37.3195089,126.9502569
300,설성면,경기+이천시+설성면+신필리+산+88-5,37.1387735,127.5471615
301,소하동,경기+광명시+소하동+1331,37.4397958,126.8832786
302,안중,경기+평택시+안중읍+안중리+안중읍사무소,36.9857715,126.9317124
303,여주,경기+여주시+하동+134-11,37.2980237,127.6371628
304,원시동,경기+안산시+단원구+산단로+112,37.3052549,126.7885028
305,의정부동,경기+의정부시+의정부2동+551-2,37.735582,127.0404207
306,정왕동,경기+시흥시+정왕동+1799-5,37.3468122,126.7400834
307,평택항,경기+평택시+포승읍+만호리+576-4,36.9746048,126.8455396
308,행신동,경기+고양시+덕양구+행신동+59-3,37.6181827,126.8376892
309,간성읍,강원+고성군+간성읍+흘리+산+1-92,38.2874362,128.3852152
310,남양동1,강원+삼척시+남양동+339-1,37.4413076,129.1691186
311,방산면,강원+양구군+방산면+송현1리+519-2,38.2237447,127.9581179
312,석사동,강원+춘천시+석사동+322-1,37.8570697,127.7494966
313,중앙로,강원+춘천시+중앙로+3가+67-1,37.8757473,127.7207644
314,천곡동,강원+동해시+천곡동+806,37.5250249,129.114494
315,치악산,강원+횡성군+강림면+강림리+1538,37.360138,128.1250947
316,모종동,충남+아산시+모종동+573-2,36.7826194,127.0145206
317,매포읍,충북+단양군+매포읍+평동리+1274,37.0333563,128.2957257
318,문화동,충북+청주시+상당구+문화동+89,36.6358093,127.4913338
319,복대동,충북+청주시+흥덕구+복대동+111,36.6344233,127.4470453
320,사천동,충북+청주시+청원구+사천동+233-223,36.6424341,127.4890319
321,옥천읍,충북+옥천군+옥천읍+중앙로+99,36.3050837,127.5707891
322,용암동,충북+청주시+상당구+용암동+1590,36.6088179,127.5012932
323,장락동,충북+제천시+장락동+672-8,37.1451372,128.220664
324,진천읍,충북+진천군+진천읍+상산로+65,36.855086,127.4412279
325,칠금동,충북+충주시+칠금동+874,36.9820862,127.9192058
326,호암동,충북+충주시+호암동+562,36.9645667,127.9261579
327,노은동,대전+유성구+노은동+546,36.3682342,127.3184583
328,대흥동1,대전+중구+대흥동+630-1,36.3237437,127.4186358
329,둔산동,대전+서구+둔산동+1304,36.3542639,127.3834662
330,문평동,대전+대덕구+문평동+79-1,36.446907,127.404716
331,월평동,대전+서구+월평동+1528,36.3534785,127.3599023
332,3공단,경북+포항시+남구+대송면+옥명리+526,35.9630419,129.3768479
