SIDO,SIGUNGU,SIGUNGU2,SIG_CD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
서울,종로구,,11110,7793.69,7703.91,7578.71,7423.87,7291.86,7081.64,6976.02," 6,936.49 "," 7,140.13 "," 7,052.28 "," 7,134.94 "," 7,043.19 "," 6,910.37 "," 6,695.47 "," 6,565.18 "," 6,481.27 "," 6,387.23 "
서울,중구,,11140,14153.23,14356.25,13865.69,13505.36,13248.48,13053.58,13116.07," 13,056.07 "," 13,088.04 "," 12,998.33 "," 13,335.63 "," 13,371.48 "," 13,388.15 "," 13,098.82 "," 12,857.70 "," 12,623.10 "," 12,574.03 "
서울,용산구,,11170,10978.27,11020.40,10728.21,10601.38,10523.18,10530.21,10611.27," 10,784.64 "," 10,893.96 "," 10,916.13 "," 11,197.19 "," 11,272.30 "," 11,122.34 "," 10,962.67 "," 10,789.39 "," 10,671.14 "," 10,529.37 "
서울,성동구,,11200,20231.92,20266.06,20228.78,20144.92,20129.63,20047.83,19850.56," 19,796.66 "," 18,648.75 "," 18,284.00 "," 18,345.23 "," 17,847.17 "," 17,783.13 "," 17,760.80 "," 17,564.58 "," 17,615.32 "," 17,749.54 "
서울,광진구,,11215,22948.85,22761.19,22666.79,22574.71,22316.74,22018.45,21959.34," 22,082.16 "," 22,007.98 "," 21,919.89 "," 22,005.75 "," 21,797.55 "," 21,760.62 "," 21,622.31 "," 21,295.31 "," 21,119.47 "," 20,934.78 "
서울,동대문구,,11230,26764.30,26863.29,26861.38,26932.81,26688.55,26809.18,26654.14," 26,505.46 "," 26,072.05 "," 25,502.02 "," 25,828.85 "," 25,733.90 "," 25,578.06 "," 25,633.55 "," 25,592.13 "," 25,338.90 "," 24,978.13 "
서울,중랑구,,11260,24773.09,24260.66,23893.43,23568.18,23447.96,23098.38,23031.31," 23,085.58 "," 23,129.63 "," 22,965.09 "," 23,108.65 "," 22,906.39 "," 22,668.30 "," 22,533.03 "," 22,645.13 "," 22,378.49 "," 22,221.58 "
서울,성북구,,11290,18759.78,18342.64,18066.13,18442.26,18363.66,18843.85,19247.84," 19,130.72 "," 19,268.54 "," 19,377.70 "," 19,903.71 "," 19,748.93 "," 19,610.51 "," 19,390.74 "," 18,989.17 "," 18,685.91 "," 18,323.01 "
서울,강북구,,11305,14906.49,14887.84,15332.02,15280.26,15274.17,14966.67,14785.12," 14,635.76 "," 14,496.70 "," 14,415.43 "," 14,675.30 "," 14,623.71 "," 14,542.54 "," 14,353.77 "," 14,197.85 "," 14,021.82 "," 13,866.00 "
서울,도봉구,,11320,17823.07,17848.05,17880.14,18105.83,18363.13,18344.14,18234.02," 18,159.96 "," 18,062.14 "," 17,859.41 "," 17,790.65 "," 17,659.05 "," 17,499.06 "," 17,320.45 "," 17,086.54 "," 16,959.82 "," 16,848.34 "
서울,노원구,,11350,17859.42,18238.94,18113.94,17839.23,17733.28,17559.09,17448.72," 17,410.49 "," 17,387.63 "," 17,231.32 "," 17,248.66 "," 17,043.05 "," 16,852.28 "," 16,663.34 "," 16,439.59 "," 16,214.70 "," 16,016.20 "
서울,은평구,,11380,15796.18,15739.28,15823.28,15977.08,16089.33,15843.19,15637.39," 15,456.69 "," 15,439.52 "," 15,690.61 "," 16,438.28 "," 16,623.61 "," 16,885.71 "," 16,957.10 "," 16,787.96 "," 16,762.83 "," 16,545.46 "
서울,서대문구,,11410,20876.37,20809.53,20601.84,20196.16,19989.20,19823.75,19815.75," 19,799.21 "," 18,842.09 "," 18,602.95 "," 18,434.97 "," 17,884.67 "," 17,897.46 "," 17,839.63 "," 17,629.13 "," 17,728.47 "," 17,843.08 "
서울,마포구,,11440,16221.93,15880.91,15725.87,15895.20,16062.41,16256.92,16353.69," 16,446.75 "," 16,132.13 "," 16,086.49 "," 16,410.54 "," 16,337.03 "," 16,135.91 "," 16,019.01 "," 16,170.61 "," 16,257.26 "," 15,932.65 "
서울,양천구,,11470,27972.88,27832.96,27840.77,27986.10,28453.93,28715.92,28827.96," 28,938.46 "," 28,863.36 "," 28,800.58 "," 28,727.81 "," 28,738.67 "," 28,503.28 "," 28,300.43 "," 27,937.83 "," 27,840.78 "," 27,445.51 "
서울,강서구,,11500,12592.48,12598.80,12762.53,12972.18,13084.66,13374.16,13396.22," 13,529.03 "," 13,924.48 "," 13,829.62 "," 13,858.84 "," 13,737.23 "," 13,697.19 "," 13,736.62 "," 14,124.97 "," 14,215.89 "," 14,370.95 "
서울,구로구,,11530,20045.10,20653.16,20551.19,20525.42,20723.37,20702.76,20874.43," 20,911.49 "," 20,896.50 "," 20,973.15 "," 21,059.55 "," 21,243.96 "," 21,249.13 "," 21,122.80 "," 21,165.72 "," 20,980.02 "," 20,754.36 "
서울,금천구,,11545,20490.84,20032.84,20104.54,20089.96,19962.70,19738.53,19461.31," 19,146.86 "," 19,017.27 "," 18,834.09 "," 18,860.66 "," 18,725.03 "," 18,713.28 "," 18,516.49 "," 18,315.24 "," 18,148.15 "," 18,079.77 "
서울,영등포구,,11560,16547.29,16561.56,16638.64,16413.59,16538.35,16623.76,16636.58," 16,615.63 "," 16,612.89 "," 16,519.25 "," 16,561.03 "," 16,178.05 "," 15,941.56 "," 15,755.85 "," 15,587.45 "," 15,430.52 "," 15,108.78 "
서울,동작구,,11590,25431.38,24832.58,24645.39,25086.14,25125.51,25110.59,24993.32," 24,832.42 "," 24,519.90 "," 24,339.42 "," 24,632.36 "," 24,547.24 "," 24,797.12 "," 25,120.35 "," 24,915.79 "," 24,498.20 "," 24,519.55 "
서울,관악구,,11620,17736.49,17849.68,17658.99,17668.57,17929.15,17923.90,18098.99," 18,110.96 "," 18,078.36 "," 17,919.99 "," 17,973.08 "," 17,802.82 "," 17,688.07 "," 17,518.90 "," 17,356.51 "," 17,236.19 "," 17,141.46 "
서울,서초구,,11650,8440.44,8355.22,8254.07,8393.38,8522.30,8541.38,8680.26," 8,638.27 "," 8,644.68 "," 9,052.14 "," 9,248.73 "," 9,224.07 "," 9,255.90 "," 9,398.85 "," 9,567.24 "," 9,505.24 "," 9,518.36 "
서울,강남구,,11680,13915.79,13671.05,13533.24,13377.43,13442.16,13679.79,14085.55," 14,187.74 "," 14,109.61 "," 14,218.57 "," 14,427.50 "," 14,316.69 "," 14,284.33 "," 14,268.01 "," 14,635.37 "," 14,594.56 "," 14,356.87 "
서울,송파구,,11710,19580.70,19344.04,19094.81,18282.58,17838.24,17883.03,17917.44," 18,415.07 "," 19,745.89 "," 20,115.75 "," 20,228.04 "," 20,138.58 "," 19,870.14 "," 19,731.92 "," 19,622.61 "," 19,491.62 "," 19,418.48 "
서울,강동구,,11740,20203.47,19906.12,19589.74,19417.42,19169.76,18881.46,18787.56," 18,901.13 "," 19,083.59 "," 19,720.46 "," 20,007.36 "," 20,139.81 "," 19,845.54 "," 19,659.78 "," 19,384.34 "," 18,652.72 "," 18,063.48 "
부산,중구,,26110,20765.39,20344.13,19848.76,19384.82,18959.91,18524.23,18099.27," 17,827.61 "," 17,591.57 "," 17,357.32 "," 17,546.53 "," 17,277.52 "," 17,042.22 "," 16,753.70 "," 16,538.50 "," 16,211.94 "," 15,996.80 "
부산,서구,,26140,11595.53,11106.37,10824.35,10552.37,10417.25,10199.20,9919.00," 9,673.56 "," 9,349.14 "," 9,060.11 "," 9,078.51 "," 8,910.91 "," 8,702.89 "," 8,529.08 "," 8,477.42 "," 8,318.21 "," 8,093.84 "
부산,동구,,26170,13006.21,12716.39,12382.95,12032.15,11691.09,11260.17,10954.07," 10,724.79 "," 10,509.81 "," 10,345.37 "," 10,382.28 "," 10,317.31 "," 10,123.31 "," 9,864.82 "," 9,716.59 "," 9,456.09 "," 9,225.81 "
부산,영도구,,26200,13204.58,12871.57,12499.03,12188.11,11880.06,11614.44,11316.60," 11,059.45 "," 10,788.83 "," 10,486.64 "," 10,391.46 "," 10,137.48 "," 9,894.09 "," 9,612.68 "," 9,336.34 "," 9,144.25 "," 8,902.03 "
부산,부산진구,,26230,14505.75,14375.23,14174.89,13833.11,13661.06,13829.83,13670.20," 13,554.52 "," 13,491.75 "," 13,328.35 "," 13,332.00 "," 13,306.26 "," 13,226.58 "," 13,126.02 "," 13,045.01 "," 12,855.73 "," 12,685.28 "
부산,동래구,,26260,17973.93,17691.25,17392.87,16892.03,16787.55,16590.90,16797.14," 17,121.50 "," 16,981.44 "," 16,930.96 "," 17,005.66 "," 17,063.20 "," 16,759.26 "," 16,633.90 "," 16,590.79 "," 16,402.06 "," 16,396.56 "
부산,남구,,26290,11688.37,11810.30,11916.85,11859.16,11741.10,11615.33,11271.45," 11,215.42 "," 11,269.69 "," 11,192.19 "," 11,150.71 "," 11,008.91 "," 10,861.34 "," 10,883.68 "," 10,704.80 "," 10,560.28 "," 10,398.67 "
부산,북구,,26320,8023.58,8133.38,8381.01,8530.00,8702.68,8764.63,8627.19," 8,492.75 "," 8,085.39 "," 7,967.83 "," 7,915.64 "," 7,825.22 "," 7,950.77 "," 7,867.79 "," 7,798.18 "," 7,887.40 "," 7,880.23 "
부산,해운대구,,26350,7947.35,7922.49,7807.78,7846.49,7842.97,7865.35,8143.48," 8,236.99 "," 8,248.86 "," 8,258.40 "," 8,292.40 "," 8,270.52 "," 8,320.45 "," 8,268.10 "," 8,229.27 "," 8,215.58 "," 8,156.82 "
부산,사하구,,26380,9506.42,9392.38,9254.60,9178.29,9151.12,9095.30,8961.90," 8,908.20 "," 8,924.54 "," 8,786.19 "," 8,758.84 "," 8,520.19 "," 8,453.82 "," 8,366.90 "," 8,225.05 "," 8,090.39 "," 8,014.08 "
부산,금정구,,26410,4483.82,4385.18,4273.89,4214.44,4157.32,4062.54,4034.01," 3,975.73 "," 3,934.96 "," 3,867.08 "," 3,918.98 "," 3,906.74 "," 3,922.16 "," 3,884.51 "," 3,828.02 "," 3,769.19 "," 3,747.70 "
부산,강서구,,26440,351.95,339.46,325.63,315.08,305.57,299.08,295.37, 286.97 , 290.93 , 337.01 , 347.28 , 358.46 , 362.35 , 384.69 , 438.68 , 521.24 , 600.10 
부산,연제구,,26470,18488.28,18733.17,18899.08,18667.34,18367.16,18028.19,17783.59," 17,605.58 "," 17,619.17 "," 17,418.95 "," 17,608.83 "," 17,660.99 "," 17,512.77 "," 17,326.77 "," 17,220.44 "," 17,418.64 "," 17,130.82 "
부산,수영구,,26500,18181.58,17824.56,17510.15,17435.16,17681.70,17497.63,17415.63," 17,450.95 "," 17,360.64 "," 17,375.02 "," 17,470.17 "," 17,315.83 "," 17,313.12 "," 17,157.32 "," 17,488.68 "," 17,617.10 "," 17,570.72 "
부산,사상구,,26530,8403.14,8380.33,8206.71,8034.70,7871.28,7742.47,7575.18," 7,408.04 "," 7,238.30 "," 7,078.99 "," 7,150.33 "," 7,055.21 "," 6,939.43 "," 6,838.91 "," 6,732.25 "," 6,586.07 "," 6,450.00 "
부산,기장군,,26710,341.50,349.68,350.64,356.36,366.16,367.58,364.03, 365.01 , 372.27 , 409.91 , 470.37 , 495.72 , 524.87 , 607.04 , 663.00 , 701.30 , 726.19 
대구,중구,,27110,12980.40,12655.04,12300.87,11798.91,11289.48,11313.51,11112.01," 11,186.32 "," 11,149.96 "," 10,990.92 "," 11,029.49 "," 10,858.85 "," 10,694.23 "," 10,806.00 "," 11,170.66 "," 11,470.58 "," 11,299.17 "
대구,동구,,27140,1853.78,1843.99,1826.82,1861.93,1888.75,1887.51,1853.72," 1,844.29 "," 1,816.52 "," 1,818.82 "," 1,852.32 "," 1,872.52 "," 1,877.94 "," 1,887.31 "," 1,910.13 "," 1,919.56 "," 1,928.56 "
대구,서구,,27170,16340.23,15990.68,15572.20,15112.65,14735.73,14329.75,13904.74," 13,573.50 "," 13,081.12 "," 12,881.60 "," 12,848.09 "," 12,733.65 "," 12,595.97 "," 12,412.67 "," 12,165.06 "," 11,891.20 "," 11,513.19 "
대구,남구,,27200,11248.09,11038.53,10871.38,10636.37,10402.27,10321.43,10348.76," 10,236.99 "," 10,054.65 "," 9,858.00 "," 9,819.33 "," 9,699.15 "," 9,676.62 "," 9,524.46 "," 9,376.94 "," 9,225.44 "," 8,972.28 "
대구,북구,,27230,4288.20,4340.01,4555.78,4672.49,4813.29,4923.99,4960.99," 4,919.72 "," 4,903.87 "," 4,817.99 "," 4,809.26 "," 4,780.65 "," 4,767.02 "," 4,723.27 "," 4,723.58 "," 4,710.50 "," 4,681.31 "
대구,수성구,,27260,6012.26,5970.36,5844.10,5864.22,5806.36,5717.59,5756.74," 5,848.28 "," 5,907.96 "," 5,966.55 "," 6,041.99 "," 6,030.22 "," 6,012.71 "," 6,028.96 "," 5,969.99 "," 5,908.36 "," 5,845.85 "
대구,달서구,,27290,9452.40,9630.97,9724.05,9700.04,9660.33,9570.48,9460.98," 9,484.05 "," 9,537.83 "," 9,592.48 "," 9,737.90 "," 9,729.19 "," 9,729.65 "," 9,790.62 "," 9,727.71 "," 9,666.76 "," 9,494.60 "
대구,달성군,,27710,361.29,365.55,364.37,368.94,365.10,370.83,370.80,#N/A, 400.49 , 412.52 , 418.96 , 422.76 , 432.17 , 432.17 , 433.36 , 451.74 , 511.55 
인천,중구,,28110,812.01,711.81,717.65,782.01,813.56,831.97,802.08, 779.57 , 769.77 , 740.32 , 754.62 , 760.33 , 751.35 , 820.90 , 840.34 , 857.89 , 822.11 
인천,동구,,28140,10784.00,10739.15,10591.32,11472.53,11560.06,11119.95,10644.57," 10,309.25 "," 10,418.38 "," 10,756.13 "," 11,083.76 "," 10,946.34 "," 10,671.51 "," 10,444.34 "," 10,287.59 "," 10,091.48 "," 9,874.97 "
인천,남구,,28170,17362.01,17571.98,17878.15,17874.26,17689.21,17194.47,17026.91," 16,856.98 "," 16,929.58 "," 16,901.00 "," 17,058.26 "," 16,828.09 "," 16,688.13 "," 16,559.31 "," 16,436.59 "," 16,299.26 "," 16,792.15 "
인천,연수구,,28185,10331.11,10280.53,10210.36,10145.35,8624.31,8695.16,8026.71," 7,961.10 "," 7,969.06 "," 6,351.45 "," 6,532.21 "," 6,318.07 "," 6,420.89 "," 6,590.22 "," 6,332.14 "," 6,371.79 "," 5,980.82 "
인천,남동구,,28200,7175.52,7171.87,7100.24,6905.92,6761.86,6672.55,6864.09," 7,480.22 "," 7,914.61 "," 8,150.18 "," 8,307.07 "," 8,690.38 "," 8,832.75 "," 8,893.67 "," 9,023.96 "," 9,317.45 "," 9,306.99 "
인천,부평구,,28237,17088.49,17262.39,17457.10,17323.05,17414.54,17740.28,17829.85," 17,785.67 "," 17,793.11 "," 17,629.22 "," 17,735.73 "," 17,530.06 "," 17,470.95 "," 17,404.46 "," 17,404.80 "," 17,368.12 "," 17,176.87 "
인천,계양구,,28245,7397.07,7455.12,7484.95,7463.36,7396.49,7359.27,7511.62," 7,517.63 "," 7,512.74 "," 7,548.58 "," 7,631.85 "," 7,554.71 "," 7,508.88 "," 7,544.72 "," 7,451.13 "," 7,336.48 "," 7,247.60 "
인천,서구,,28260,3099.99,3148.72,3163.60,3124.30,3259.11,3427.12,3426.58," 3,559.93 "," 3,464.91 "," 3,480.86 "," 3,582.34 "," 3,828.78 "," 4,121.57 "," 4,298.33 ",#N/A," 4,380.84 "," 4,368.87 "
인천,강화군,,28710,163.37,162.78,159.75,158.16,158.34,159.00,159.32, 161.60 , 163.85 , 163.01 , 163.18 , 162.35 , 162.27 , 162.24 , 163.13 , 164.47 , 165.30 
인천,옹진군,,28720,85.39,85.59,85.95,86.85,90.20,94.98,100.33, 100.47 , 102.13 , 106.12 , 109.04 , 113.34 , 116.51 , 120.29 , 120.30 , 121.74 , 123.79 
광주,동구,,29110,2530.18,2438.93,2399.32,2384.14,2409.81,2342.69,2334.70," 2,354.88 "," 2,250.52 "," 2,205.68 "," 2,137.72 "," 2,164.68 "," 2,146.07 "," 2,094.01 "," 2,048.21 "," 2,007.58 "," 1,942.27 "
광주,서구,,29140,6155.28,6436.88,6677.00,6714.35,6761.53,6665.82,6619.77," 6,571.62 "," 6,526.62 "," 6,418.60 "," 6,491.40 "," 6,654.03 "," 6,625.34 "," 6,597.16 "," 6,494.02 "," 6,384.11 "," 6,479.79 "
광주,남구,,29155,3790.93,3702.90,3624.43,3538.91,3493.23,3511.97,3466.58," 3,422.36 "," 3,491.28 "," 3,501.92 "," 3,553.95 "," 3,589.53 "," 3,578.36 "," 3,545.46 "," 3,604.16 "," 3,629.10 "," 3,603.24 "
광주,북구,,29170,3907.05,3894.10,3869.13,3795.94,3760.45,3729.10,3786.30," 3,829.26 "," 3,894.66 "," 3,855.91 "," 3,834.99 "," 3,694.86 "," 3,688.21 "," 3,703.17 "," 3,721.36 "," 3,709.97 "," 3,666.11 "
광주,광산구,,29200,1134.56,1179.99,1235.04,1287.53,1328.50,1377.14,1398.14," 1,418.28 "," 1,438.84 "," 1,538.40 "," 1,629.51 "," 1,684.73 "," 1,727.71 "," 1,762.58 "," 1,782.37 "," 1,798.04 "," 1,808.53 "
대전,동구,,30110,1845.92,1803.27,1758.26,1756.02,1743.80,1716.03,1729.48," 1,789.59 "," 1,800.52 "," 1,801.55 "," 1,821.48 "," 1,839.21 "," 1,843.82 "," 1,833.96 "," 1,796.49 "," 1,753.20 "," 1,719.28 "
대전,중구,,30140,4308.56,4329.59,4285.62,4329.87,4290.29,4302.15,4252.82," 4,280.46 "," 4,260.09 "," 4,249.85 "," 4,278.56 "," 4,273.34 "," 4,251.27 "," 4,263.76 "," 4,203.04 "," 4,122.54 "," 4,062.97 "
대전,서구,,30170,5000.06,5088.61,5203.91,5255.43,5340.98,5338.20,5299.90," 5,266.22 "," 5,233.22 "," 5,233.69 "," 5,237.30 "," 5,227.59 "," 5,200.18 "," 5,225.73 "," 4,307.86 "," 5,140.20 "," 5,141.62 "
대전,유성구,,30200,889.85,969.27,1057.35,1094.66,1148.54,1245.97,1371.93," 1,413.43 "," 1,465.92 "," 1,503.85 "," 1,588.93 "," 1,660.51 "," 1,728.30 "," 1,771.03 "," 1,857.06 "," 1,901.18 "," 1,946.13 "
대전,대덕구,,30230,3380.57,3374.75,3360.46,3350.01,3316.66,3262.51,3175.22," 3,115.49 "," 3,085.16 "," 3,040.76 "," 3,031.98 "," 2,999.22 "," 2,995.64 "," 2,975.50 "," 2,934.51 "," 2,865.64 "," 2,805.44 "
